datetime,symbol,open,high,low,close,volume
2024-05-19 16:00:00,FX:EURGBP,0.85548,0.85551,0.85509,0.85547,5.0
2024-05-19 16:05:00,FX:EURGBP,0.85547,0.85577,0.85541,0.85577,55.0
2024-05-19 16:10:00,FX:EURGBP,0.85577,0.85582,0.85573,0.85582,39.0
2024-05-19 16:15:00,FX:EURGBP,0.85582,0.85582,0.85567,0.85572,30.0
2024-05-19 16:20:00,FX:EURGBP,0.85572,0.85582,0.85554,0.8557899999999999,139.0
2024-05-19 16:25:00,FX:EURGBP,0.8557899999999999,0.85582,0.85555,0.85574,119.0
2024-05-19 16:30:00,FX:EURGBP,0.85574,0.85574,0.85567,0.85569,142.0
2024-05-19 16:35:00,FX:EURGBP,0.85569,0.85588,0.85566,0.8557,306.0
2024-05-19 16:40:00,FX:EURGBP,0.8557,0.85588,0.85567,0.85585,167.0
2024-05-19 16:45:00,FX:EURGBP,0.85585,0.85589,0.8556,0.85571,177.0
2024-05-19 16:50:00,FX:EURGBP,0.85571,0.85571,0.85566,0.85566,22.0
2024-05-19 16:55:00,FX:EURGBP,0.85566,0.85588,0.8555699999999999,0.85583,390.0
2024-05-19 17:00:00,FX:EURGBP,0.85583,0.85597,0.85542,0.8559599999999999,575.0
2024-05-19 17:05:00,FX:EURGBP,0.8559599999999999,0.85597,0.85582,0.85583,134.0
2024-05-19 17:10:00,FX:EURGBP,0.85583,0.85587,0.8558,0.85587,89.0
2024-05-19 17:15:00,FX:EURGBP,0.85587,0.85592,0.85581,0.85592,71.0
2024-05-19 17:20:00,FX:EURGBP,0.85592,0.85597,0.85591,0.85594,84.0
2024-05-19 17:25:00,FX:EURGBP,0.85594,0.85597,0.8559,0.85593,66.0
2024-05-19 17:30:00,FX:EURGBP,0.85593,0.85594,0.8558,0.85583,134.0
2024-05-19 17:35:00,FX:EURGBP,0.85583,0.85583,0.85576,0.85582,82.0
2024-05-19 17:40:00,FX:EURGBP,0.85582,0.8558399999999999,0.8558,0.85583,47.0
2024-05-19 17:45:00,FX:EURGBP,0.85583,0.85587,0.8558,0.85586,85.0
2024-05-19 17:50:00,FX:EURGBP,0.85586,0.85587,0.8558399999999999,0.85586,84.0
2024-05-19 17:55:00,FX:EURGBP,0.85586,0.8559,0.85585,0.85588,107.0
2024-05-19 18:00:00,FX:EURGBP,0.85588,0.85592,0.85586,0.85588,116.0
2024-05-19 18:05:00,FX:EURGBP,0.85588,0.85592,0.8558399999999999,0.85591,124.0
2024-05-19 18:10:00,FX:EURGBP,0.85591,0.85591,0.85581,0.85583,124.0
2024-05-19 18:15:00,FX:EURGBP,0.85583,0.85588,0.85581,0.85585,84.0
2024-05-19 18:20:00,FX:EURGBP,0.85585,0.85586,0.85578,0.8557899999999999,107.0
2024-05-19 18:25:00,FX:EURGBP,0.8557899999999999,0.85582,0.85572,0.85574,180.0
2024-05-19 18:30:00,FX:EURGBP,0.85574,0.85578,0.85567,0.85568,206.0
2024-05-19 18:35:00,FX:EURGBP,0.85568,0.85569,0.85563,0.85564,91.0
2024-05-19 18:40:00,FX:EURGBP,0.85564,0.85565,0.8556,0.85563,94.0
2024-05-19 18:45:00,FX:EURGBP,0.85563,0.85572,0.85563,0.85567,263.0
2024-05-19 18:50:00,FX:EURGBP,0.85567,0.85569,0.85563,0.85564,137.0
2024-05-19 18:55:00,FX:EURGBP,0.85564,0.85571,0.8556199999999999,0.85569,211.0
2024-05-19 19:00:00,FX:EURGBP,0.85569,0.8558399999999999,0.85568,0.8557899999999999,527.0
2024-05-19 19:05:00,FX:EURGBP,0.8557899999999999,0.8559599999999999,0.8557899999999999,0.85595,388.0
2024-05-19 19:10:00,FX:EURGBP,0.85595,0.856,0.85594,0.85599,253.0
2024-05-19 19:15:00,FX:EURGBP,0.85599,0.85606,0.85588,0.85589,272.0
2024-05-19 19:20:00,FX:EURGBP,0.85589,0.8559599999999999,0.85587,0.85591,290.0
2024-05-19 19:25:00,FX:EURGBP,0.85591,0.85594,0.85582,0.85591,449.0
2024-05-19 19:30:00,FX:EURGBP,0.85591,0.85597,0.85583,0.85585,518.0
2024-05-19 19:35:00,FX:EURGBP,0.85585,0.85588,0.85576,0.85588,305.0
2024-05-19 19:40:00,FX:EURGBP,0.85588,0.8559,0.85581,0.85586,358.0
2024-05-19 19:45:00,FX:EURGBP,0.85586,0.85592,0.8558399999999999,0.85591,377.0
2024-05-19 19:50:00,FX:EURGBP,0.85591,0.85599,0.85591,0.8559599999999999,386.0
2024-05-19 19:55:00,FX:EURGBP,0.8559599999999999,0.85602,0.8559,0.85595,552.0
2024-05-19 20:00:00,FX:EURGBP,0.85595,0.85607,0.85594,0.8560099999999999,829.0
2024-05-19 20:05:00,FX:EURGBP,0.8560099999999999,0.85604,0.85593,0.85597,590.0
2024-05-19 20:10:00,FX:EURGBP,0.85597,0.85602,0.85591,0.85595,646.0
2024-05-19 20:15:00,FX:EURGBP,0.85595,0.85599,0.85589,0.8559,839.0
2024-05-19 20:20:00,FX:EURGBP,0.8559,0.8559599999999999,0.85588,0.85592,592.0
2024-05-19 20:25:00,FX:EURGBP,0.85592,0.8559599999999999,0.85591,0.85595,578.0
2024-05-19 20:30:00,FX:EURGBP,0.85595,0.85602,0.85593,0.856,743.0
2024-05-19 20:35:00,FX:EURGBP,0.856,0.85607,0.85594,0.85598,654.0
2024-05-19 20:40:00,FX:EURGBP,0.85598,0.856,0.85593,0.85597,458.0
2024-05-19 20:45:00,FX:EURGBP,0.85597,0.85604,0.85595,0.856,572.0
2024-05-19 20:50:00,FX:EURGBP,0.856,0.85602,0.8559,0.85591,542.0
2024-05-19 20:55:00,FX:EURGBP,0.85591,0.85593,0.85586,0.8559,451.0
2024-05-19 21:00:00,FX:EURGBP,0.8559,0.85592,0.85582,0.85586,418.0
2024-05-19 21:05:00,FX:EURGBP,0.85586,0.8559,0.8557899999999999,0.85585,451.0
