datetime,symbol,open,high,low,close,volume
2024-03-03 17:00:00,FX_IDC:EURUSD,1.0838,1.0839,1.08358,1.0839,21.0
2024-03-03 17:05:00,FX_IDC:EURUSD,1.0839,1.084,1.08349,1.08376,878.0
2024-03-03 17:10:00,FX_IDC:EURUSD,1.0839,1.08391,1.08361,1.08387,770.0
2024-03-03 17:15:00,FX_IDC:EURUSD,1.0838,1.08396,1.08364,1.08395,828.0
2024-03-03 17:20:00,FX_IDC:EURUSD,1.0839,1.084,1.08369,1.08371,1019.0
2024-03-03 17:25:00,FX_IDC:EURUSD,1.08387,1.08393,1.08371,1.08386,1065.0
2024-03-03 17:30:00,FX_IDC:EURUSD,1.0838,1.08398,1.0837,1.08392,1706.0
2024-03-03 17:35:00,FX_IDC:EURUSD,1.08381,1.08403,1.08374,1.08398,1591.0
2024-03-03 17:40:00,FX_IDC:EURUSD,1.08388,1.08403,1.0838,1.08395,563.0
2024-03-03 17:45:00,FX_IDC:EURUSD,1.08394,1.08405,1.08381,1.08393,502.0
2024-03-03 17:50:00,FX_IDC:EURUSD,1.08403,1.08427,1.08381,1.08403,2009.0
2024-03-03 17:55:00,FX_IDC:EURUSD,1.08411,1.08413,1.08356,1.084,1627.0
2024-03-03 18:00:00,FX_IDC:EURUSD,1.08392,1.08431,1.08381,1.08406,2575.0
2024-03-03 18:05:00,FX_IDC:EURUSD,1.08399,1.08429,1.08389,1.08417,2416.0
2024-03-03 18:10:00,FX_IDC:EURUSD,1.08416,1.0843,1.08409,1.08418,1380.0
2024-03-03 18:15:00,FX_IDC:EURUSD,1.0842,1.0844,1.08416,1.0843,1717.0
2024-03-03 18:20:00,FX_IDC:EURUSD,1.08431,1.08437,1.08421,1.08433,1758.0
2024-03-03 18:25:00,FX_IDC:EURUSD,1.08432,1.08433,1.08414,1.08425,2746.0
2024-03-03 18:30:00,FX_IDC:EURUSD,1.08426,1.0844,1.08417,1.08434,2765.0
2024-03-03 18:35:00,FX_IDC:EURUSD,1.08435,1.0844,1.08418,1.08431,2482.0
2024-03-03 18:40:00,FX_IDC:EURUSD,1.08424,1.0844,1.08416,1.08424,2065.0
2024-03-03 18:45:00,FX_IDC:EURUSD,1.08416,1.08426,1.08404,1.08416,2178.0
2024-03-03 18:50:00,FX_IDC:EURUSD,1.08415,1.08421,1.08407,1.08416,2127.0
2024-03-03 18:55:00,FX_IDC:EURUSD,1.08408,1.08423,1.08402,1.08414,2217.0
2024-03-03 19:00:00,FX_IDC:EURUSD,1.08414,1.08427,1.08399,1.0842,3439.0
2024-03-03 19:05:00,FX_IDC:EURUSD,1.08416,1.0843,1.0841,1.08414,3470.0
2024-03-03 19:10:00,FX_IDC:EURUSD,1.0842,1.08435,1.08414,1.08433,2943.0
2024-03-03 19:15:00,FX_IDC:EURUSD,1.08429,1.08444,1.08422,1.08431,4037.0
2024-03-03 19:20:00,FX_IDC:EURUSD,1.08431,1.08445,1.08424,1.0844,3599.0
2024-03-03 19:25:00,FX_IDC:EURUSD,1.08444,1.0845,1.08432,1.08444,2887.0
2024-03-03 19:30:00,FX_IDC:EURUSD,1.08443,1.08457,1.08435,1.08449,3157.0
2024-03-03 19:35:00,FX_IDC:EURUSD,1.0845,1.08463,1.08443,1.08459,3201.0
2024-03-03 19:40:00,FX_IDC:EURUSD,1.08453,1.0848,1.0845,1.08476,3430.0
2024-03-03 19:45:00,FX_IDC:EURUSD,1.08478,1.0848,1.08463,1.0847,2837.0
2024-03-03 19:50:00,FX_IDC:EURUSD,1.08471,1.08476,1.08458,1.08471,3863.0
2024-03-03 19:55:00,FX_IDC:EURUSD,1.08472,1.0848,1.08444,1.08449,3301.0
2024-03-03 20:00:00,FX_IDC:EURUSD,1.08456,1.08458,1.08434,1.08439,3699.0
2024-03-03 20:05:00,FX_IDC:EURUSD,1.08439,1.08443,1.08418,1.08425,3487.0
2024-03-03 20:10:00,FX_IDC:EURUSD,1.0842,1.0843,1.0841,1.08427,3339.0
2024-03-03 20:15:00,FX_IDC:EURUSD,1.08418,1.08443,1.08418,1.08431,3584.0
2024-03-03 20:20:00,FX_IDC:EURUSD,1.08436,1.08444,1.08423,1.0843,3186.0
2024-03-03 20:25:00,FX_IDC:EURUSD,1.0843,1.08437,1.08418,1.0843,2926.0
2024-03-03 20:30:00,FX_IDC:EURUSD,1.08425,1.08436,1.08406,1.08413,3765.0
2024-03-03 20:35:00,FX_IDC:EURUSD,1.08422,1.0843,1.08413,1.08422,3237.0
2024-03-03 20:40:00,FX_IDC:EURUSD,1.08422,1.08427,1.08392,1.08402,3343.0
2024-03-03 20:45:00,FX_IDC:EURUSD,1.08399,1.08413,1.08393,1.08405,3485.0
2024-03-03 20:50:00,FX_IDC:EURUSD,1.08399,1.0841,1.08377,1.0838,3032.0
2024-03-03 20:55:00,FX_IDC:EURUSD,1.08388,1.08403,1.08378,1.08393,3249.0
2024-03-03 21:00:00,FX_IDC:EURUSD,1.08401,1.08402,1.08379,1.08384,2605.0
2024-03-03 21:05:00,FX_IDC:EURUSD,1.08379,1.08402,1.08376,1.08389,3122.0
2024-03-03 21:10:00,FX_IDC:EURUSD,1.08388,1.08413,1.08377,1.08409,3427.0
2024-03-03 21:15:00,FX_IDC:EURUSD,1.08408,1.08435,1.08402,1.08433,3328.0
2024-03-03 21:20:00,FX_IDC:EURUSD,1.0843,1.08438,1.08417,1.08424,3214.0
2024-03-03 21:25:00,FX_IDC:EURUSD,1.08424,1.0844,1.08417,1.08436,3168.0
2024-03-03 21:30:00,FX_IDC:EURUSD,1.08429,1.08451,1.08425,1.08444,3062.0
2024-03-03 21:35:00,FX_IDC:EURUSD,1.08445,1.0846,1.08433,1.08443,2760.0
2024-03-03 21:40:00,FX_IDC:EURUSD,1.08434,1.08453,1.08433,1.08445,2927.0
2024-03-03 21:45:00,FX_IDC:EURUSD,1.08439,1.0846,1.08438,1.08456,2659.0
2024-03-03 21:50:00,FX_IDC:EURUSD,1.08454,1.08457,1.08439,1.08452,2930.0
2024-03-03 21:55:00,FX_IDC:EURUSD,1.08444,1.08457,1.08442,1.08445,2810.0
2024-03-03 22:00:00,FX_IDC:EURUSD,1.08445,1.08457,1.08432,1.0844,3149.0
2024-03-03 22:05:00,FX_IDC:EURUSD,1.0844,1.08445,1.08417,1.08435,2714.0
2024-03-03 22:10:00,FX_IDC:EURUSD,1.08432,1.08438,1.08414,1.08425,2646.0
2024-03-03 22:15:00,FX_IDC:EURUSD,1.08419,1.0844,1.08419,1.08437,2500.0
2024-03-03 22:20:00,FX_IDC:EURUSD,1.08437,1.0845,1.08424,1.0845,2801.0
2024-03-03 22:25:00,FX_IDC:EURUSD,1.08447,1.0845,1.08428,1.08431,2733.0
2024-03-03 22:30:00,FX_IDC:EURUSD,1.08431,1.0844,1.08422,1.08432,2461.0
2024-03-03 22:35:00,FX_IDC:EURUSD,1.08431,1.08444,1.08425,1.08437,2169.0
2024-03-03 22:40:00,FX_IDC:EURUSD,1.08429,1.0844,1.08421,1.08433,2527.0
2024-03-03 22:45:00,FX_IDC:EURUSD,1.08434,1.08446,1.08426,1.08443,1738.0
