datetime,symbol,open,high,low,close,volume
2024-03-03 17:00:00,FX:EURGBP,0.8553,0.85611,0.8553,0.8561,4.0
2024-03-03 17:05:00,FX:EURGBP,0.8561,0.85651,0.85603,0.85634,137.0
2024-03-03 17:10:00,FX:EURGBP,0.85634,0.85653,0.8563,0.85648,88.0
2024-03-03 17:15:00,FX:EURGBP,0.85648,0.85656,0.85617,0.85653,147.0
2024-03-03 17:20:00,FX:EURGBP,0.85653,0.8566199999999999,0.85551,0.8565,247.0
2024-03-03 17:25:00,FX:EURGBP,0.8565,0.85652,0.85633,0.85639,285.0
2024-03-03 17:30:00,FX:EURGBP,0.85639,0.85659,0.85632,0.85644,566.0
2024-03-03 17:35:00,FX:EURGBP,0.85644,0.85656,0.85636,0.85649,374.0
2024-03-03 17:40:00,FX:EURGBP,0.85649,0.857,0.85639,0.85644,216.0
2024-03-03 17:45:00,FX:EURGBP,0.85644,0.85694,0.85633,0.8563999999999999,106.0
2024-03-03 17:50:00,FX:EURGBP,0.8563999999999999,0.85654,0.85634,0.85636,584.0
2024-03-03 17:55:00,FX:EURGBP,0.85636,0.85656,0.85634,0.8564499999999999,427.0
2024-03-03 18:00:00,FX:EURGBP,0.8564499999999999,0.85659,0.85636,0.8564499999999999,477.0
2024-03-03 18:05:00,FX:EURGBP,0.8564499999999999,0.85655,0.85644,0.8564499999999999,479.0
2024-03-03 18:10:00,FX:EURGBP,0.8564499999999999,0.8564499999999999,0.85643,0.8564499999999999,77.0
2024-03-03 18:15:00,FX:EURGBP,0.8564499999999999,0.85652,0.85643,0.85648,189.0
2024-03-03 18:20:00,FX:EURGBP,0.85648,0.8565,0.85642,0.85649,226.0
2024-03-03 18:25:00,FX:EURGBP,0.85649,0.85652,0.85646,0.85648,229.0
2024-03-03 18:30:00,FX:EURGBP,0.85648,0.85652,0.85636,0.85638,303.0
2024-03-03 18:35:00,FX:EURGBP,0.85638,0.85643,0.85636,0.8563999999999999,223.0
2024-03-03 18:40:00,FX:EURGBP,0.8563999999999999,0.85646,0.85638,0.8564499999999999,190.0
2024-03-03 18:45:00,FX:EURGBP,0.8564499999999999,0.85651,0.8564499999999999,0.85646,184.0
2024-03-03 18:50:00,FX:EURGBP,0.85646,0.85649,0.8564499999999999,0.8564499999999999,159.0
2024-03-03 18:55:00,FX:EURGBP,0.8564499999999999,0.85646,0.85633,0.85635,189.0
2024-03-03 19:00:00,FX:EURGBP,0.85635,0.8563999999999999,0.85634,0.85639,363.0
2024-03-03 19:05:00,FX:EURGBP,0.85639,0.8563999999999999,0.85632,0.85634,356.0
2024-03-03 19:10:00,FX:EURGBP,0.85634,0.85639,0.85632,0.85632,327.0
2024-03-03 19:15:00,FX:EURGBP,0.85632,0.85633,0.85624,0.85626,399.0
2024-03-03 19:20:00,FX:EURGBP,0.85626,0.85637,0.8562299999999999,0.85636,325.0
2024-03-03 19:25:00,FX:EURGBP,0.85636,0.85636,0.85628,0.85631,325.0
2024-03-03 19:30:00,FX:EURGBP,0.85631,0.85636,0.85626,0.85633,449.0
2024-03-03 19:35:00,FX:EURGBP,0.85633,0.85643,0.85631,0.85639,273.0
2024-03-03 19:40:00,FX:EURGBP,0.85639,0.85644,0.85638,0.85642,251.0
2024-03-03 19:45:00,FX:EURGBP,0.85642,0.85647,0.85641,0.85644,277.0
2024-03-03 19:50:00,FX:EURGBP,0.85644,0.85648,0.85636,0.8563999999999999,438.0
2024-03-03 19:55:00,FX:EURGBP,0.8563999999999999,0.85646,0.85631,0.85631,345.0
2024-03-03 20:00:00,FX:EURGBP,0.85631,0.8563999999999999,0.85627,0.85638,416.0
2024-03-03 20:05:00,FX:EURGBP,0.85638,0.85642,0.85635,0.85639,368.0
2024-03-03 20:10:00,FX:EURGBP,0.85639,0.85643,0.85633,0.85638,461.0
2024-03-03 20:15:00,FX:EURGBP,0.85638,0.8563999999999999,0.85626,0.8563,408.0
2024-03-03 20:20:00,FX:EURGBP,0.8563,0.85642,0.85629,0.85641,268.0
2024-03-03 20:25:00,FX:EURGBP,0.85641,0.85642,0.85635,0.85636,313.0
2024-03-03 20:30:00,FX:EURGBP,0.85636,0.85643,0.85635,0.85642,288.0
2024-03-03 20:35:00,FX:EURGBP,0.85642,0.85647,0.85641,0.85643,344.0
2024-03-03 20:40:00,FX:EURGBP,0.85643,0.85644,0.85636,0.85639,367.0
2024-03-03 20:45:00,FX:EURGBP,0.85639,0.85642,0.85636,0.8563999999999999,307.0
2024-03-03 20:50:00,FX:EURGBP,0.8563999999999999,0.85642,0.85634,0.85636,287.0
2024-03-03 20:55:00,FX:EURGBP,0.85636,0.85636,0.85625,0.85627,495.0
2024-03-03 21:00:00,FX:EURGBP,0.85627,0.85638,0.85626,0.85638,201.0
2024-03-03 21:05:00,FX:EURGBP,0.85638,0.85642,0.85634,0.85636,297.0
2024-03-03 21:10:00,FX:EURGBP,0.85636,0.85641,0.85633,0.85639,326.0
2024-03-03 21:15:00,FX:EURGBP,0.85639,0.85641,0.85635,0.85638,335.0
2024-03-03 21:20:00,FX:EURGBP,0.85638,0.85641,0.85635,0.85638,203.0
2024-03-03 21:25:00,FX:EURGBP,0.85638,0.85639,0.85633,0.85636,272.0
2024-03-03 21:30:00,FX:EURGBP,0.85636,0.85638,0.85633,0.85636,169.0
