datetime,symbol,open,high,low,close,volume
2024-03-25 10:34:00,FX:EURUSD,1.08379,1.08383,1.08373,1.08376,229.0
2024-03-25 10:35:00,FX:EURUSD,1.08376,1.08383,1.08376,1.08377,90.0
2024-03-25 10:36:00,FX:EURUSD,1.08377,1.08378,1.08373,1.08374,233.0
2024-03-25 10:37:00,FX:EURUSD,1.08374,1.08375,1.08364,1.08367,132.0
2024-03-25 10:38:00,FX:EURUSD,1.08367,1.08367,1.08363,1.08366,193.0
2024-03-25 10:39:00,FX:EURUSD,1.08366,1.08366,1.08361,1.08364,113.0
2024-03-25 10:40:00,FX:EURUSD,1.08364,1.08378,1.08363,1.08376,98.0
2024-03-25 10:41:00,FX:EURUSD,1.08376,1.08382,1.08369,1.08371,140.0
2024-03-25 10:42:00,FX:EURUSD,1.08371,1.08372,1.08364,1.08366,109.0
2024-03-25 10:43:00,FX:EURUSD,1.08366,1.08372,1.08364,1.08371,79.0
2024-03-25 10:44:00,FX:EURUSD,1.08371,1.08374,1.08366,1.08371,135.0
2024-03-25 10:45:00,FX:EURUSD,1.08371,1.08373,1.08366,1.08371,231.0
2024-03-25 10:46:00,FX:EURUSD,1.08371,1.08379,1.08371,1.08377,102.0
2024-03-25 10:47:00,FX:EURUSD,1.08377,1.08382,1.08376,1.08376,103.0
2024-03-25 10:48:00,FX:EURUSD,1.08376,1.08377,1.0836999999999999,1.08376,81.0
2024-03-25 10:49:00,FX:EURUSD,1.08376,1.08383,1.08376,1.08381,121.0
2024-03-25 10:50:00,FX:EURUSD,1.08381,1.08388,1.0838,1.08383,191.0
2024-03-25 10:51:00,FX:EURUSD,1.08383,1.08398,1.08383,1.0839699999999999,89.0
2024-03-25 10:52:00,FX:EURUSD,1.0839699999999999,1.08401,1.08392,1.08393,155.0
2024-03-25 10:53:00,FX:EURUSD,1.08393,1.08396,1.08382,1.08383,204.0
2024-03-25 10:54:00,FX:EURUSD,1.08383,1.08387,1.0836999999999999,1.08372,210.0
2024-03-25 10:55:00,FX:EURUSD,1.08372,1.08388,1.08372,1.08386,120.0
2024-03-25 10:56:00,FX:EURUSD,1.08386,1.08388,1.08384,1.08387,115.0
2024-03-25 10:57:00,FX:EURUSD,1.08387,1.08392,1.08383,1.08391,205.0
2024-03-25 10:58:00,FX:EURUSD,1.08391,1.08394,1.08387,1.08388,53.0
2024-03-25 10:59:00,FX:EURUSD,1.08388,1.08393,1.08388,1.0839,122.0
2024-03-25 11:00:00,FX:EURUSD,1.0839,1.08391,1.08364,1.08365,240.0
2024-03-25 11:01:00,FX:EURUSD,1.08365,1.08365,1.08349,1.0835,235.0
2024-03-25 11:02:00,FX:EURUSD,1.0835,1.08351,1.08344,1.0835,174.0
2024-03-25 11:03:00,FX:EURUSD,1.0835,1.08351,1.08346,1.08347,93.0
2024-03-25 11:04:00,FX:EURUSD,1.08347,1.08348,1.08346,1.08346,53.0
2024-03-25 11:05:00,FX:EURUSD,1.08346,1.08352,1.08344,1.08345,67.0
2024-03-25 11:06:00,FX:EURUSD,1.08345,1.08345,1.08334,1.08337,161.0
2024-03-25 11:07:00,FX:EURUSD,1.08337,1.08337,1.08329,1.08331,110.0
2024-03-25 11:08:00,FX:EURUSD,1.08331,1.08334,1.08325,1.08326,63.0
2024-03-25 11:09:00,FX:EURUSD,1.08326,1.08326,1.08324,1.08325,25.0
2024-03-25 11:10:00,FX:EURUSD,1.08325,1.08327,1.08315,1.08317,122.0
2024-03-25 11:11:00,FX:EURUSD,1.08317,1.0832,1.08316,1.08317,127.0
2024-03-25 11:12:00,FX:EURUSD,1.08317,1.08332,1.08317,1.08332,193.0
2024-03-25 11:13:00,FX:EURUSD,1.08332,1.08346,1.08331,1.08345,138.0
