,datetime,symbol,open,high,low,close,volume,ema_fast,ema_slow,rsi,bulls_power,bears_power,bb_upper,bb_lower,SuperArrowSignal
0,2024-06-23 16:00:00,FX:EURUSD,1.06798,1.06871,1.06798,1.06871,18.0,,,,,,,,0
1,2024-06-23 16:05:00,FX:EURUSD,1.06871,1.06897,1.06871,1.0689,132.0,,,,,,,,0
2,2024-06-23 16:10:00,FX:EURUSD,1.0689,1.06896,1.06888,1.06892,33.0,,,,,,,,0
3,2024-06-23 16:15:00,FX:EURUSD,1.06892,1.06911,1.06892,1.06894,86.0,,,,,,,,0
4,2024-06-23 16:20:00,FX:EURUSD,1.06894,1.06895,1.06861,1.06893,180.0,1.0688843209876544,,,,,,,0
5,2024-06-23 16:25:00,FX:EURUSD,1.06893,1.0691,1.0686,1.06894,316.0,1.0689028806584364,,,,,,,0
6,2024-06-23 16:30:00,FX:EURUSD,1.06894,1.06901,1.0689,1.06899,50.0,1.0689319204389576,,,,,,,0
7,2024-06-23 16:35:00,FX:EURUSD,1.06899,1.06899,1.06892,1.06893,214.0,1.0689312802926385,,,,,,,0
8,2024-06-23 16:40:00,FX:EURUSD,1.06893,1.06898,1.06889,1.06889,167.0,1.0689175201950922,,,,,,,0
9,2024-06-23 16:45:00,FX:EURUSD,1.06889,1.06893,1.06886,1.06886,76.0,1.0688983467967281,,,,,1.0689368085185396,1.0688651914814602,0
10,2024-06-23 16:50:00,FX:EURUSD,1.06886,1.06893,1.06885,1.06891,18.0,1.0689022311978187,,,,,1.0689375,1.0689045,0
11,2024-06-23 16:55:00,FX:EURUSD,1.06891,1.06892,1.06887,1.06891,44.0,1.0689048207985459,1.068881619284504,63.78134860915045,,,1.0689382480768093,1.0689057519231906,0
12,2024-06-23 17:00:00,FX:EURUSD,1.06891,1.0693,1.06887,1.06924,369.0,1.0690165471990307,1.0689367547791957,83.94480554779811,,,1.069004358713248,1.0689036412867519,0
13,2024-06-23 17:05:00,FX:EURUSD,1.06924,1.06928,1.0692,1.06925,76.0,1.0690943647993538,1.0689849463516272,84.23494240314803,,,1.069051942139195,1.068918057860805,0
14,2024-06-23 17:10:00,FX:EURUSD,1.06925,1.06925,1.06915,1.06922,55.0,1.0691362431995692,1.069021108451377,79.53129049122445,,,1.0690886726188102,1.0689393273811896,0
15,2024-06-23 17:15:00,FX:EURUSD,1.06922,1.06923,1.06913,1.06916,90.0,1.0691441621330462,1.0690424763819344,70.89411695367241,,,1.069112491829629,1.068959508170371,0
16,2024-06-23 17:20:00,FX:EURUSD,1.06916,1.06917,1.06914,1.06917,46.0,1.0691527747553642,1.0690620954000982,71.45770251066068,,,1.0691325238817175,1.0689754761182824,0
17,2024-06-23 17:25:00,FX:EURUSD,1.06917,1.0692,1.06917,1.06918,56.0,1.0691618498369095,1.0690802345693138,72.0481458894606,,,1.0691566031571524,1.0690013968428478,0
18,2024-06-23 17:30:00,FX:EURUSD,1.06918,1.06919,1.06917,1.06919,56.0,1.0691712332246066,1.0690971215586502,72.66502014722346,,,1.0691811959140116,1.0690368040859881,0
19,2024-06-23 17:35:00,FX:EURUSD,1.06919,1.0692,1.06911,1.06918,150.0,1.0691741554830712,1.0691098720880887,70.95670486250987,,,1.0692004327350877,1.0690815672649125,0
20,2024-06-23 17:40:00,FX:EURUSD,1.06918,1.06929,1.06918,1.06929,100.0,1.0692127703220475,1.0691375840745367,77.34732918891032,,,1.0692279106327907,1.069130089367209,0
