datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-07-21 21:00:00,FX:EURUSD,1.08867,1.08879,1.08846,1.08875,2044.0,,,2024-07-22 02:00:00,2024-07-22 04:00:00
2024-07-21 20:45:00,FX:EURUSD,1.08936,1.08937,1.08848,1.08867,1822.0,,,2024-07-22 01:45:00,2024-07-22 03:45:00
2024-07-21 20:30:00,FX:EURUSD,1.08927,1.08937,1.08925,1.08936,1475.0,,,2024-07-22 01:30:00,2024-07-22 03:30:00
2024-07-21 20:15:00,FX:EURUSD,1.0891,1.08932,1.08904,1.08927,1528.0,,,2024-07-22 01:15:00,2024-07-22 03:15:00
2024-07-21 20:00:00,FX:EURUSD,1.08937,1.08949,1.08895,1.0891,1340.0,,,2024-07-22 01:00:00,2024-07-22 03:00:00
2024-07-21 19:45:00,FX:EURUSD,1.08931,1.08953,1.08925,1.08937,1141.0,,,2024-07-22 00:45:00,2024-07-22 02:45:00
2024-07-21 19:30:00,FX:EURUSD,1.08941,1.08948,1.08923,1.08931,999.0,,,2024-07-22 00:30:00,2024-07-22 02:30:00
2024-07-21 19:15:00,FX:EURUSD,1.08961,1.08962,1.08934,1.08941,1685.0,,,2024-07-22 00:15:00,2024-07-22 02:15:00
2024-07-21 19:00:00,FX:EURUSD,1.08989,1.08996,1.08927,1.08961,1771.0,,,2024-07-22 00:00:00,2024-07-22 02:00:00
2024-07-21 18:45:00,FX:EURUSD,1.09003,1.09015,1.08985,1.08989,1509.0,,,2024-07-21 23:45:00,2024-07-22 01:45:00
2024-07-21 18:30:00,FX:EURUSD,1.09018,1.09028,1.08987,1.09003,1274.0,1.09048,,2024-07-21 23:30:00,2024-07-22 01:30:00
2024-07-21 18:15:00,FX:EURUSD,1.08997,1.09022,1.08994,1.09018,1037.0,,,2024-07-21 23:15:00,2024-07-22 01:15:00
2024-07-21 18:00:00,FX:EURUSD,1.08999,1.08999,1.08983,1.08997,1312.0,,,2024-07-21 23:00:00,2024-07-22 01:00:00
2024-07-21 17:45:00,FX:EURUSD,1.08997,1.09,1.08985,1.08999,626.0,,,2024-07-21 22:45:00,2024-07-22 00:45:00
2024-07-21 17:30:00,FX:EURUSD,1.08935,1.08997,1.08934,1.08997,471.0,,,2024-07-21 22:30:00,2024-07-22 00:30:00
2024-07-21 17:15:00,FX:EURUSD,1.0888,1.08935,1.0888,1.08935,295.0,,,2024-07-21 22:15:00,2024-07-22 00:15:00
2024-07-21 17:00:00,FX:EURUSD,1.08843,1.08889,1.08843,1.0888,635.0,,,2024-07-21 22:00:00,2024-07-22 00:00:00
2024-07-21 16:45:00,FX:EURUSD,1.08833,1.08854,1.08823,1.08843,834.0,,,2024-07-21 21:45:00,2024-07-21 23:45:00
2024-07-21 16:30:00,FX:EURUSD,1.08851,1.08856,1.08832,1.08833,403.0,,,2024-07-21 21:30:00,2024-07-21 23:30:00
2024-07-21 16:15:00,FX:EURUSD,1.08847,1.08852,1.08845,1.08851,252.0,,,2024-07-21 21:15:00,2024-07-21 23:15:00
2024-07-21 16:00:00,FX:EURUSD,1.08866,1.08866,1.0882,1.08847,91.0,,,2024-07-21 21:00:00,2024-07-21 23:00:00
2024-07-19 15:45:00,FX:EURUSD,1.08822,1.08832,1.08772,1.0881,894.0,,,2024-07-19 20:45:00,2024-07-19 22:45:00
2024-07-19 15:30:00,FX:EURUSD,1.08822,1.08824,1.08815,1.08822,432.0,,,2024-07-19 20:30:00,2024-07-19 22:30:00
2024-07-19 15:15:00,FX:EURUSD,1.08797,1.08826,1.08795,1.08822,235.0,,,2024-07-19 20:15:00,2024-07-19 22:15:00
2024-07-19 15:00:00,FX:EURUSD,1.08793,1.08804,1.0879,1.08797,479.0,,,2024-07-19 20:00:00,2024-07-19 22:00:00
2024-07-19 14:45:00,FX:EURUSD,1.08789,1.08796,1.08768,1.08793,920.0,,,2024-07-19 19:45:00,2024-07-19 21:45:00
2024-07-19 14:30:00,FX:EURUSD,1.08793,1.08797,1.08781,1.08789,885.0,,,2024-07-19 19:30:00,2024-07-19 21:30:00
2024-07-19 14:15:00,FX:EURUSD,1.08792,1.08811,1.08791,1.08793,867.0,,,2024-07-19 19:15:00,2024-07-19 21:15:00
2024-07-19 14:00:00,FX:EURUSD,1.08787,1.08821,1.08786,1.08792,999.0,,,2024-07-19 19:00:00,2024-07-19 21:00:00
2024-07-19 13:45:00,FX:EURUSD,1.0876,1.08788,1.08756,1.08787,2138.0,,1.08736,2024-07-19 18:45:00,2024-07-19 20:45:00
2024-07-19 13:30:00,FX:EURUSD,1.08802,1.08807,1.0876,1.0876,1243.0,,,2024-07-19 18:30:00,2024-07-19 20:30:00
2024-07-19 13:15:00,FX:EURUSD,1.0882,1.08827,1.08798,1.08802,1884.0,,,2024-07-19 18:15:00,2024-07-19 20:15:00
2024-07-19 13:00:00,FX:EURUSD,1.08838,1.08845,1.08816,1.0882,2198.0,,,2024-07-19 18:00:00,2024-07-19 20:00:00
2024-07-19 12:45:00,FX:EURUSD,1.08837,1.08845,1.08829,1.08838,1495.0,,,2024-07-19 17:45:00,2024-07-19 19:45:00
2024-07-19 12:30:00,FX:EURUSD,1.08818,1.08852,1.08807,1.08837,3014.0,,,2024-07-19 17:30:00,2024-07-19 19:30:00
2024-07-19 12:15:00,FX:EURUSD,1.08824,1.08838,1.08808,1.08818,1887.0,,,2024-07-19 17:15:00,2024-07-19 19:15:00
2024-07-19 12:00:00,FX:EURUSD,1.08849,1.08854,1.08813,1.08824,1910.0,,,2024-07-19 17:00:00,2024-07-19 19:00:00
2024-07-19 11:45:00,FX:EURUSD,1.08865,1.08871,1.08839,1.08849,1911.0,,,2024-07-19 16:45:00,2024-07-19 18:45:00
2024-07-19 11:30:00,FX:EURUSD,1.08885,1.08893,1.08864,1.08865,1967.0,,,2024-07-19 16:30:00,2024-07-19 18:30:00
2024-07-19 11:15:00,FX:EURUSD,1.08898,1.08904,1.08869,1.08885,2098.0,,,2024-07-19 16:15:00,2024-07-19 18:15:00
2024-07-19 11:00:00,FX:EURUSD,1.08879,1.08911,1.08868,1.08898,2099.0,1.08931,,2024-07-19 16:00:00,2024-07-19 18:00:00
2024-07-19 10:45:00,FX:EURUSD,1.08861,1.08892,1.08856,1.08879,2627.0,,,2024-07-19 15:45:00,2024-07-19 17:45:00
2024-07-19 10:30:00,FX:EURUSD,1.08856,1.08877,1.08834,1.08861,2501.0,,,2024-07-19 15:30:00,2024-07-19 17:30:00
2024-07-19 10:15:00,FX:EURUSD,1.08881,1.08896,1.08853,1.08856,2028.0,,,2024-07-19 15:15:00,2024-07-19 17:15:00
2024-07-19 10:00:00,FX:EURUSD,1.08897,1.089,1.08876,1.08881,2471.0,,,2024-07-19 15:00:00,2024-07-19 17:00:00
2024-07-19 09:45:00,FX:EURUSD,1.08854,1.089,1.08848,1.08897,4912.0,,,2024-07-19 14:45:00,2024-07-19 16:45:00
2024-07-19 09:30:00,FX:EURUSD,1.08861,1.08894,1.08836,1.08854,3059.0,,,2024-07-19 14:30:00,2024-07-19 16:30:00
