,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3,SuperSignalV2
0,2024-06-30 16:00:00,FX:GBPJPY,203.403,203.475,203.402,203.402,39.0,,,,,0.0,,,,,0,0
1,2024-06-30 16:05:00,FX:GBPJPY,203.402,203.47,203.402,203.444,53.0,,,,,0.0,,,,,0,0
2,2024-06-30 16:10:00,FX:GBPJPY,203.444,203.494,203.436,203.479,88.0,,,,,0.0,,,,,0,0
3,2024-06-30 16:15:00,FX:GBPJPY,203.479,203.48,203.176,203.213,162.0,,,,,0.0,,,,,0,0
4,2024-06-30 16:20:00,FX:GBPJPY,203.213,203.304,203.168,203.297,128.0,,,,,0.0,,,,,0,0
5,2024-06-30 16:25:00,FX:GBPJPY,203.297,203.442,203.293,203.432,113.0,,,,,0.0,,,,,0,0
6,2024-06-30 16:30:00,FX:GBPJPY,203.432,203.433,203.28,203.28,80.0,,,,,0.0,,,,,0,0
7,2024-06-30 16:35:00,FX:GBPJPY,203.28,203.361,203.256,203.339,202.0,203.567,203.168,,,0.0,,,,,0,0
8,2024-06-30 16:40:00,FX:GBPJPY,203.339,203.354,203.331,203.346,136.0,203.567,203.168,,,0.0,,,,,0,0
9,2024-06-30 16:45:00,FX:GBPJPY,203.346,203.38,203.346,203.361,241.0,203.567,203.168,,,0.0,,,,,0,0
10,2024-06-30 16:50:00,FX:GBPJPY,203.361,203.419,203.345,203.407,286.0,203.567,203.168,203.567,203.168,0.0,,,,,0,0
11,2024-06-30 16:55:00,FX:GBPJPY,203.407,203.414,203.365,203.395,189.0,203.567,203.168,203.567,203.168,0.0,,,,,0,0
12,2024-06-30 17:00:00,FX:GBPJPY,203.395,203.567,203.36,203.545,879.0,203.567,203.256,203.567,203.168,0.0,203.567,,203.567,,2,0
13,2024-06-30 17:05:00,FX:GBPJPY,203.545,203.547,203.378,203.394,578.0,203.567,203.256,203.567,203.168,0.0,,,,,0,0
14,2024-06-30 17:10:00,FX:GBPJPY,203.394,203.409,203.373,203.407,310.0,203.567,203.256,203.567,203.168,0.0,,,,,0,0
15,2024-06-30 17:15:00,FX:GBPJPY,203.407,203.461,203.377,203.4,648.0,203.567,203.331,203.567,203.256,0.0,,,,,0,0
16,2024-06-30 17:20:00,FX:GBPJPY,203.4,203.445,203.399,203.436,347.0,203.567,203.345,203.567,203.256,0.0,,,,,0,0
17,2024-06-30 17:25:00,FX:GBPJPY,203.436,203.505,203.422,203.469,396.0,203.567,203.345,203.567,203.256,0.0,,,,,0,0
18,2024-06-30 17:30:00,FX:GBPJPY,203.469,203.507,203.439,203.448,530.0,203.567,203.36,203.567,203.331,0.0,,,,,0,0
19,2024-06-30 17:35:00,FX:GBPJPY,203.448,203.466,203.431,203.461,373.0,203.567,203.36,203.567,203.345,0.0,,,,,0,0
20,2024-06-30 17:40:00,FX:GBPJPY,203.461,203.463,203.397,203.426,298.0,203.547,203.373,203.567,203.345,0.0,,,,,0,0
21,2024-06-30 17:45:00,FX:GBPJPY,203.426,203.484,203.423,203.476,162.0,203.507,203.373,203.567,203.36,0.0,,,,,0,0
22,2024-06-30 17:50:00,FX:GBPJPY,203.476,203.486,203.433,203.435,171.0,203.507,203.375,203.567,203.36,0.0,,,,,0,0
23,2024-06-30 17:55:00,FX:GBPJPY,203.435,203.457,203.421,203.424,204.0,203.507,203.375,203.547,203.373,0.0,,,,,0,0
24,2024-06-30 18:00:00,FX:GBPJPY,203.424,203.436,203.397,203.428,635.0,203.507,203.375,203.527,203.373,0.0,,,,,0,0
25,2024-06-30 18:05:00,FX:GBPJPY,203.428,203.447,203.411,203.411,235.0,203.507,203.375,203.551,203.375,0.0,,,,,0,0
26,2024-06-30 18:10:00,FX:GBPJPY,203.411,203.417,203.375,203.396,301.0,203.492,203.375,203.559,203.375,0.0,,203.375,,203.375,1,1
27,2024-06-30 18:15:00,FX:GBPJPY,203.396,203.421,203.383,203.385,194.0,203.521,203.375,203.559,203.375,0.0,,,,,0,0
28,2024-06-30 18:20:00,FX:GBPJPY,203.385,203.427,203.384,203.412,226.0,203.527,203.375,203.559,203.375,0.0,,,,,0,0
29,2024-06-30 18:25:00,FX:GBPJPY,203.412,203.435,203.399,203.4,247.0,203.551,203.375,203.657,203.375,0.0,,,,,0,0
30,2024-06-30 18:30:00,FX:GBPJPY,203.4,203.417,203.395,203.4,97.0,203.559,203.375,203.657,203.367,0.0,,,,,0,0
31,2024-06-30 18:35:00,FX:GBPJPY,203.4,203.442,203.4,203.442,88.0,203.559,203.375,203.657,203.367,0.0,,,,,0,0
32,2024-06-30 18:40:00,FX:GBPJPY,203.442,203.492,203.436,203.484,220.0,203.559,203.375,203.687,203.367,0.0,,,,,0,0
33,2024-06-30 18:45:00,FX:GBPJPY,203.484,203.521,203.469,203.516,314.0,203.657,203.375,203.721,203.367,0.0,,,,,0,0
34,2024-06-30 18:50:00,FX:GBPJPY,203.516,203.527,203.466,203.495,551.0,203.657,203.367,203.748,203.367,0.0,,,,,0,0
35,2024-06-30 18:55:00,FX:GBPJPY,203.495,203.551,203.482,203.54,469.0,203.657,203.367,203.882,203.367,0.0,,,,,0,0
36,2024-06-30 19:00:00,FX:GBPJPY,203.54,203.559,203.453,203.464,1074.0,203.687,203.367,203.925,203.367,0.0,,,,,0,0
37,2024-06-30 19:05:00,FX:GBPJPY,203.464,203.47,203.417,203.463,695.0,203.721,203.367,203.925,203.367,0.0,,,,,0,0
38,2024-06-30 19:10:00,FX:GBPJPY,203.463,203.479,203.448,203.471,484.0,203.748,203.367,203.925,203.367,0.0,,,,,0,0
39,2024-06-30 19:15:00,FX:GBPJPY,203.471,203.657,203.471,203.57,1170.0,203.882,203.367,203.925,203.367,0.0,,,,,0,0
40,2024-06-30 19:20:00,FX:GBPJPY,203.57,203.595,203.367,203.484,2034.0,203.925,203.367,203.925,203.367,0.0,,203.367,,203.367,1,1
41,2024-06-30 19:25:00,FX:GBPJPY,203.484,203.598,203.484,203.584,1051.0,203.925,203.367,203.925,203.367,0.0,,,,,0,0
42,2024-06-30 19:30:00,FX:GBPJPY,203.584,203.687,203.575,203.676,794.0,203.925,203.367,203.925,203.367,0.0,,,,,0,0
43,2024-06-30 19:35:00,FX:GBPJPY,203.676,203.721,203.646,203.672,1103.0,203.925,203.367,203.925,203.367,0.0,,,,,0,0
44,2024-06-30 19:40:00,FX:GBPJPY,203.672,203.748,203.662,203.726,1150.0,203.925,203.367,203.925,203.367,0.0,,,,,0,0
45,2024-06-30 19:45:00,FX:GBPJPY,203.726,203.882,203.726,203.856,1181.0,203.925,203.367,203.925,203.367,0.0,,,,,0,0
46,2024-06-30 19:50:00,FX:GBPJPY,203.856,203.925,203.827,203.874,1310.0,203.925,203.367,203.925,203.367,0.0,203.925,,203.925,,2,2
47,2024-06-30 19:55:00,FX:GBPJPY,203.874,203.894,203.684,203.695,1793.0,203.925,203.367,203.925,203.367,0.0,,,,,0,0
48,2024-06-30 20:00:00,FX:GBPJPY,203.695,203.726,203.603,203.654,2047.0,203.925,203.484,203.925,203.367,0.0,,,,,0,0
49,2024-06-30 20:05:00,FX:GBPJPY,203.654,203.694,203.621,203.646,1281.0,203.925,203.575,203.925,203.367,0.08713999999999998,,,,,0,0
50,2024-06-30 20:10:00,FX:GBPJPY,203.646,203.719,203.613,203.715,1341.0,203.925,203.603,203.925,203.367,0.08751719999999986,,,,,0,0
51,2024-06-30 20:15:00,FX:GBPJPY,203.715,203.751,203.664,203.692,988.0,203.925,203.603,203.925,203.484,0.08750685600000022,,,,,0,0
52,2024-06-30 20:20:00,FX:GBPJPY,203.692,203.755,203.673,203.754,837.0,203.925,203.603,203.925,203.575,0.08739671888000008,,,,,0,0
53,2024-06-30 20:25:00,FX:GBPJPY,203.754,203.827,203.741,203.795,1039.0,203.925,203.603,203.925,203.603,0.08736878450239978,,,,,0,0
54,2024-06-30 20:30:00,FX:GBPJPY,203.795,203.807,203.723,203.8,1212.0,203.894,203.603,203.925,203.603,0.08730140881235128,,,,,0,0
55,2024-06-30 20:35:00,FX:GBPJPY,203.8,203.813,203.707,203.714,1117.0,203.827,203.603,203.925,203.602,0.08767538063610415,,,,,0,0
56,2024-06-30 20:40:00,FX:GBPJPY,203.714,203.737,203.651,203.716,963.0,203.827,203.613,203.925,203.602,0.08764187302338175,,,,,0,0
57,2024-06-30 20:45:00,FX:GBPJPY,203.716,203.739,203.63,203.63,891.0,203.827,203.613,203.894,203.602,0.08806903556291429,,,,,0,0
58,2024-06-30 20:50:00,FX:GBPJPY,203.63,203.686,203.628,203.677,674.0,203.827,203.609,203.827,203.602,0.08746765485165643,,,,,0,0
59,2024-06-30 20:55:00,FX:GBPJPY,203.677,203.71,203.655,203.71,540.0,203.827,203.602,203.827,203.602,0.08681830175462345,,,,,0,0
60,2024-06-30 21:00:00,FX:GBPJPY,203.71,203.722,203.626,203.634,571.0,203.827,203.602,203.827,203.602,0.08700193571953106,,,,,0,0
61,2024-06-30 21:05:00,FX:GBPJPY,203.634,203.675,203.622,203.67,432.0,203.813,203.602,203.827,203.602,0.08632189700514038,,,,,0,0
62,2024-06-30 21:10:00,FX:GBPJPY,203.67,203.714,203.664,203.687,617.0,203.813,203.602,203.827,203.602,0.08559545906503781,,,,,0,0
63,2024-06-30 21:15:00,FX:GBPJPY,203.687,203.687,203.628,203.633,677.0,203.739,203.602,203.827,203.602,0.08506354988373756,,,,,0,0
64,2024-06-30 21:20:00,FX:GBPJPY,203.633,203.655,203.609,203.615,614.0,203.739,203.602,203.813,203.602,0.08428227888606266,,,,,0,0
65,2024-06-30 21:25:00,FX:GBPJPY,203.615,203.662,203.602,203.66,571.0,203.722,203.602,203.813,203.602,0.08379663330834144,,203.51820336669167,,203.56010168334583,1,1
