,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3
0,2024-06-23 16:00:00,FX:EURUSD,1.06798,1.06871,1.06798,1.06871,18.0,,,,,0.0,,,,,0
1,2024-06-23 16:05:00,FX:EURUSD,1.06871,1.06897,1.06871,1.0689,132.0,,,,,0.0,,,,,0
2,2024-06-23 16:10:00,FX:EURUSD,1.0689,1.06896,1.06888,1.06892,33.0,,,,,0.0,,,,,0
3,2024-06-23 16:15:00,FX:EURUSD,1.06892,1.06911,1.06892,1.06894,86.0,,,,,0.0,,,,,0
4,2024-06-23 16:20:00,FX:EURUSD,1.06894,1.06895,1.06861,1.06893,180.0,,,,,0.0,,,,,0
5,2024-06-23 16:25:00,FX:EURUSD,1.06893,1.0691,1.0686,1.06894,316.0,,,,,0.0,,,,,0
6,2024-06-23 16:30:00,FX:EURUSD,1.06894,1.06901,1.0689,1.06899,50.0,,,,,0.0,,,,,0
7,2024-06-23 16:35:00,FX:EURUSD,1.06899,1.06899,1.06892,1.06893,214.0,1.0693,1.06798,,,0.0,,,,,0
8,2024-06-23 16:40:00,FX:EURUSD,1.06893,1.06898,1.06889,1.06889,167.0,1.0693,1.0686,,,0.0,,,,,0
9,2024-06-23 16:45:00,FX:EURUSD,1.06889,1.06893,1.06886,1.06886,76.0,1.0693,1.0686,,,0.0,,,,,0
10,2024-06-23 16:50:00,FX:EURUSD,1.06886,1.06893,1.06885,1.06891,18.0,1.0693,1.0686,1.0693,1.06798,0.0,,,,,0
11,2024-06-23 16:55:00,FX:EURUSD,1.06891,1.06892,1.06887,1.06891,44.0,1.0693,1.0686,1.06934,1.0686,0.0,,,,,0
12,2024-06-23 17:00:00,FX:EURUSD,1.06891,1.0693,1.06887,1.06924,369.0,1.0693,1.0686,1.06934,1.0686,0.0,,,1.0693,,-2
13,2024-06-23 17:05:00,FX:EURUSD,1.06924,1.06928,1.0692,1.06925,76.0,1.0693,1.06885,1.06937,1.0686,0.0,,,,,0
14,2024-06-23 17:10:00,FX:EURUSD,1.06925,1.06925,1.06915,1.06922,55.0,1.0693,1.06885,1.06945,1.0686,0.0,,,,,0
15,2024-06-23 17:15:00,FX:EURUSD,1.06922,1.06923,1.06913,1.06916,90.0,1.06934,1.06885,1.06954,1.0686,0.0,,,,,0
16,2024-06-23 17:20:00,FX:EURUSD,1.06916,1.06917,1.06914,1.06917,46.0,1.06934,1.06885,1.06954,1.06885,0.0,,,,,0
17,2024-06-23 17:25:00,FX:EURUSD,1.06917,1.0692,1.06917,1.06918,56.0,1.06937,1.06885,1.06954,1.06885,0.0,,,,,0
18,2024-06-23 17:30:00,FX:EURUSD,1.06918,1.06919,1.06917,1.06919,56.0,1.06945,1.06887,1.06954,1.06885,0.0,,,,,0
19,2024-06-23 17:35:00,FX:EURUSD,1.06919,1.0692,1.06911,1.06918,150.0,1.06954,1.06887,1.06954,1.06885,0.0,,,,,0
20,2024-06-23 17:40:00,FX:EURUSD,1.06918,1.06929,1.06918,1.06929,100.0,1.06954,1.06908,1.06954,1.06885,0.0,,,,,0
21,2024-06-23 17:45:00,FX:EURUSD,1.06929,1.06934,1.06929,1.06929,83.0,1.06954,1.06908,1.06954,1.06887,0.0,,,,,0
22,2024-06-23 17:50:00,FX:EURUSD,1.06929,1.06931,1.06908,1.06923,226.0,1.06954,1.06908,1.06954,1.06887,0.0,,,,1.06908,-1
23,2024-06-23 17:55:00,FX:EURUSD,1.06923,1.06937,1.06923,1.06937,99.0,1.06954,1.06908,1.06954,1.06882,0.0,,,,,0
24,2024-06-23 18:00:00,FX:EURUSD,1.06937,1.06945,1.06935,1.06944,241.0,1.06954,1.06902,1.06954,1.06875,0.0,,,,,0
25,2024-06-23 18:05:00,FX:EURUSD,1.06944,1.06954,1.06944,1.0695,243.0,1.06954,1.06899,1.06954,1.06873,0.0,1.06954,,1.06954,,2
26,2024-06-23 18:10:00,FX:EURUSD,1.0695,1.06952,1.06938,1.06943,153.0,1.06954,1.06893,1.06954,1.06848,0.0,,,,,0
27,2024-06-23 18:15:00,FX:EURUSD,1.06943,1.06949,1.06929,1.06931,233.0,1.06954,1.06882,1.06954,1.06848,0.0,,,,,0
28,2024-06-23 18:20:00,FX:EURUSD,1.06931,1.06936,1.06923,1.06931,292.0,1.06954,1.06875,1.06954,1.06848,0.0,,,,,0
29,2024-06-23 18:25:00,FX:EURUSD,1.06931,1.06936,1.06911,1.06914,285.0,1.06954,1.06873,1.06954,1.06848,0.0,,,,,0
30,2024-06-23 18:30:00,FX:EURUSD,1.06914,1.06916,1.06902,1.06906,227.0,1.06954,1.06848,1.06954,1.06848,0.0,,,,,0
31,2024-06-23 18:35:00,FX:EURUSD,1.06906,1.06906,1.06899,1.069,134.0,1.06954,1.06848,1.06954,1.06848,0.0,,,,,0
32,2024-06-23 18:40:00,FX:EURUSD,1.069,1.06902,1.06893,1.06894,203.0,1.06954,1.06848,1.06954,1.06848,0.0,,,,,0
33,2024-06-23 18:45:00,FX:EURUSD,1.06894,1.069,1.06882,1.06887,260.0,1.06952,1.06848,1.06954,1.06848,0.0,,,,,0
34,2024-06-23 18:50:00,FX:EURUSD,1.06887,1.06887,1.06875,1.06879,355.0,1.06949,1.06848,1.06954,1.06848,0.0,,,,,0
35,2024-06-23 18:55:00,FX:EURUSD,1.06879,1.06884,1.06873,1.06877,360.0,1.06936,1.06848,1.06954,1.06848,0.0,,,,,0
36,2024-06-23 19:00:00,FX:EURUSD,1.06877,1.0688,1.06848,1.06856,608.0,1.06936,1.06848,1.06952,1.06848,0.0,,1.06848,,1.06848,1
37,2024-06-23 19:05:00,FX:EURUSD,1.06856,1.06866,1.06853,1.06865,411.0,1.06918,1.06848,1.06949,1.06848,0.0,,,,,0
38,2024-06-23 19:10:00,FX:EURUSD,1.06865,1.06868,1.0685,1.0685,307.0,1.06922,1.06848,1.06937,1.06848,0.0,,,,,0
39,2024-06-23 19:15:00,FX:EURUSD,1.0685,1.06886,1.06849,1.06879,394.0,1.06922,1.06848,1.06937,1.06848,0.0,,,,,0
40,2024-06-23 19:20:00,FX:EURUSD,1.06879,1.06881,1.06869,1.06874,385.0,1.06927,1.06848,1.06937,1.06848,0.0,,,,,0
41,2024-06-23 19:25:00,FX:EURUSD,1.06874,1.06887,1.06873,1.06886,387.0,1.06937,1.06848,1.06937,1.06836,0.0,,,,,0
42,2024-06-23 19:30:00,FX:EURUSD,1.06886,1.06907,1.06885,1.06905,303.0,1.06937,1.06848,1.06937,1.06836,0.0,,,,,0
43,2024-06-23 19:35:00,FX:EURUSD,1.06905,1.06918,1.06904,1.06912,339.0,1.06937,1.06848,1.06937,1.06836,0.0,,,,,0
44,2024-06-23 19:40:00,FX:EURUSD,1.06912,1.06922,1.0691,1.06914,414.0,1.06937,1.06849,1.06937,1.06836,0.0,,,,,0
45,2024-06-23 19:45:00,FX:EURUSD,1.06914,1.06918,1.06908,1.06916,487.0,1.06937,1.06836,1.06937,1.06836,0.0,,,,,0
46,2024-06-23 19:50:00,FX:EURUSD,1.06916,1.06927,1.06904,1.06926,551.0,1.06937,1.06836,1.06937,1.06836,0.0,,,,,0
47,2024-06-23 19:55:00,FX:EURUSD,1.06926,1.06937,1.06916,1.06917,609.0,1.06937,1.06836,1.06937,1.06836,0.0,1.06937,,1.06937,,2
48,2024-06-23 20:00:00,FX:EURUSD,1.06917,1.06927,1.0691,1.06921,530.0,1.06937,1.06836,1.06937,1.06836,0.0,,,,,0
49,2024-06-23 20:05:00,FX:EURUSD,1.06921,1.06922,1.06901,1.06904,602.0,1.06937,1.06836,1.06937,1.06836,0.00016539999999999556,,,,,0
50,2024-06-23 20:10:00,FX:EURUSD,1.06904,1.06906,1.06869,1.06877,960.0,1.06937,1.06836,1.06937,1.06836,0.0001694919999999953,,,,,0
51,2024-06-23 20:15:00,FX:EURUSD,1.06877,1.06877,1.06836,1.06861,1365.0,1.06937,1.06836,1.06937,1.06836,0.00017430215999999582,,1.06818569784,,1.06827284892,1
52,2024-06-23 20:20:00,FX:EURUSD,1.06861,1.06886,1.06855,1.06877,880.0,1.06937,1.06836,1.06937,1.06836,0.00017701611679999212,,,,,0
53,2024-06-23 20:25:00,FX:EURUSD,1.06877,1.06888,1.06872,1.06879,597.0,1.06937,1.06836,1.06937,1.06836,0.00017667579446399548,,,,,0
54,2024-06-23 20:30:00,FX:EURUSD,1.06879,1.0688,1.06851,1.06869,793.0,1.06937,1.06836,1.06937,1.06836,0.0001789422785747136,,,,,0
55,2024-06-23 20:35:00,FX:EURUSD,1.06869,1.06888,1.0686,1.06883,584.0,1.06927,1.06836,1.06937,1.06836,0.0001809634330032205,,,,,0
56,2024-06-23 20:40:00,FX:EURUSD,1.06883,1.06898,1.06881,1.06896,685.0,1.06922,1.06836,1.06937,1.06836,0.00018074416434315615,,,,,0
