datetime,symbol,open,high,low,close,volume
1/14/2024 17:00,FX_IDC:EURUSD,1.0953,1.0953,1.09454,1.09476,151
1/14/2024 17:05,FX_IDC:EURUSD,1.09461,1.0948,1.09428,1.09441,675
1/14/2024 17:10,FX_IDC:EURUSD,1.09432,1.0949,1.09432,1.09472,728
1/14/2024 17:15,FX_IDC:EURUSD,1.09467,1.09497,1.09454,1.09477,2086
1/14/2024 17:20,FX_IDC:EURUSD,1.09477,1.09486,1.0946,1.09481,286
1/14/2024 17:25,FX_IDC:EURUSD,1.09478,1.09495,1.09461,1.09487,690
1/14/2024 17:30,FX_IDC:EURUSD,1.09479,1.09504,1.0947,1.09474,620
1/14/2024 17:35,FX_IDC:EURUSD,1.09478,1.09494,1.09474,1.09485,607
1/14/2024 17:40,FX_IDC:EURUSD,1.0949,1.09496,1.09476,1.09491,516
1/14/2024 17:45,FX_IDC:EURUSD,1.09491,1.09501,1.09472,1.09492,708
1/14/2024 17:50,FX_IDC:EURUSD,1.09492,1.09512,1.09479,1.09487,575
1/14/2024 17:55,FX_IDC:EURUSD,1.09487,1.09507,1.09476,1.09489,1148
1/14/2024 18:00,FX_IDC:EURUSD,1.09489,1.09497,1.09431,1.09462,2459
1/14/2024 18:05,FX_IDC:EURUSD,1.09462,1.0947,1.09448,1.09459,1214
1/14/2024 18:10,FX_IDC:EURUSD,1.09459,1.0948,1.09453,1.09468,1070
1/14/2024 18:15,FX_IDC:EURUSD,1.09468,1.09483,1.09458,1.09476,1069
1/14/2024 18:20,FX_IDC:EURUSD,1.09482,1.09484,1.0946,1.0947,1126
1/14/2024 18:25,FX_IDC:EURUSD,1.09462,1.09471,1.09457,1.09462,994
1/14/2024 18:30,FX_IDC:EURUSD,1.09461,1.0947,1.09445,1.09457,1519
1/14/2024 18:35,FX_IDC:EURUSD,1.09457,1.09472,1.09449,1.09468,1360
1/14/2024 18:40,FX_IDC:EURUSD,1.09462,1.09479,1.0946,1.09468,1424
1/14/2024 18:45,FX_IDC:EURUSD,1.09462,1.0947,1.09443,1.09453,1803
1/14/2024 18:50,FX_IDC:EURUSD,1.09447,1.09455,1.09435,1.09445,1535
1/14/2024 18:55,FX_IDC:EURUSD,1.0945,1.09453,1.09431,1.09447,1627
1/14/2024 19:00,FX_IDC:EURUSD,1.09451,1.09455,1.09408,1.09411,2895
1/14/2024 19:05,FX_IDC:EURUSD,1.09413,1.09431,1.094,1.09426,3243
1/14/2024 19:10,FX_IDC:EURUSD,1.0942,1.09442,1.0941,1.09423,3020
1/14/2024 19:15,FX_IDC:EURUSD,1.09425,1.09445,1.09417,1.0944,3285
1/14/2024 19:20,FX_IDC:EURUSD,1.09436,1.0947,1.09426,1.09461,3502
1/14/2024 19:25,FX_IDC:EURUSD,1.09464,1.09472,1.09444,1.09455,3062
1/14/2024 19:30,FX_IDC:EURUSD,1.09455,1.09488,1.09446,1.09481,3485
1/14/2024 19:35,FX_IDC:EURUSD,1.09478,1.09497,1.09474,1.09483,3355
1/14/2024 19:40,FX_IDC:EURUSD,1.09485,1.095,1.09474,1.09492,3105
1/14/2024 19:45,FX_IDC:EURUSD,1.09492,1.09521,1.09484,1.09496,3825
1/14/2024 19:50,FX_IDC:EURUSD,1.09497,1.09541,1.09493,1.09531,4384
1/14/2024 19:55,FX_IDC:EURUSD,1.09534,1.09535,1.09511,1.09533,3971
1/14/2024 20:00,FX_IDC:EURUSD,1.09531,1.09557,1.09518,1.09544,3418
